model_family,number,value,params_batch_size,params_dropout,params_embedding_dim,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state,user_attrs_mean_predicted_uplift,user_attrs_policy_gain_top10,user_attrs_policy_gain_top20,user_attrs_policy_gain_top30,user_attrs_positive_uplift_rate,user_attrs_qini_auc,user_attrs_resolved_params,user_attrs_treatment_response_auc,user_attrs_uplift_auc,params_C,params_class_weight,params_penalty
ft_transformer,0,0.18599372616256668,1024.0,0.06968844687765367,64.0,128.0,0.00020804156004609816,4.0,4.0,5.673373778577399e-05,COMPLETE,0.0006760091705192218,0.00792723749007563,0.005038273342593854,0.0035109373713922776,0.999127299779679,0.18599372616256668,"{'embedding_dim': 64, 'num_layers': 4, 'num_heads': 4, 'dropout': 0.06968844687765367, 'hidden_dim': 128, 'learning_rate': 0.00020804156004609816, 'weight_decay': 5.673373778577399e-05, 'batch_size': 1024}",0.9508184679896936,0.006028798978947576,,,
ft_transformer,1,0.17803315201153036,2048.0,0.08120043397957481,32.0,64.0,0.0002630239790316894,4.0,2.0,0.0003222436164799881,COMPLETE,0.0007960856957729656,0.007290968574272416,0.004577934419672244,0.0034150874003630776,0.9448768205098859,0.17803315201153036,"{'embedding_dim': 32, 'num_layers': 2, 'num_heads': 4, 'dropout': 0.08120043397957481, 'hidden_dim': 64, 'learning_rate': 0.0002630239790316894, 'weight_decay': 0.0003222436164799881, 'batch_size': 2048}",0.9493527502256511,0.0057659518264488495,,,
ft_transformer,2,0.18224298192181915,1024.0,0.17146650714815914,64.0,256.0,0.0013466574253395544,8.0,2.0,5.3166514980177465e-06,COMPLETE,0.0004164569179972532,0.00718791141767398,0.004945202793295534,0.0035203820139457958,0.2847434833614696,0.18224298192181915,"{'embedding_dim': 64, 'num_layers': 2, 'num_heads': 8, 'dropout': 0.17146650714815914, 'hidden_dim': 256, 'learning_rate': 0.0013466574253395544, 'weight_decay': 5.3166514980177465e-06, 'batch_size': 1024}",0.9476063007330892,0.005902957951935514,,,
ft_transformer,3,0.0954685806942844,1024.0,0.19845841691525623,96.0,64.0,0.0012940654294914988,2.0,3.0,0.0008007956733730375,COMPLETE,3.260858815054792e-05,0.007015660662783498,0.003923674714853967,0.002641934917594296,0.6458315450132097,0.0954685806942844,"{'embedding_dim': 96, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.19845841691525623, 'hidden_dim': 64, 'learning_rate': 0.0012940654294914988, 'weight_decay': 0.0008007956733730375, 'batch_size': 1024}",0.9448945694070858,0.003093760343000692,,,
ft_transformer,4,-0.013595964584255982,1024.0,0.24520276028047389,96.0,256.0,0.0003305931261363955,8.0,2.0,0.00015918323412093913,COMPLETE,4.30547291728025e-05,0.002899336337319827,0.002329413227188084,0.001818018084830249,0.952635745419516,-0.013595964584255982,"{'embedding_dim': 96, 'num_layers': 2, 'num_heads': 8, 'dropout': 0.24520276028047389, 'hidden_dim': 256, 'learning_rate': 0.0003305931261363955, 'weight_decay': 0.00015918323412093913, 'batch_size': 1024}",0.9489726381067989,-0.0004760613613591288,,,
ft_transformer,5,0.17304337268396697,4096.0,0.07825674390338098,96.0,256.0,0.0004549828222681774,2.0,3.0,1.4569419977008126e-06,COMPLETE,0.0004511142820282833,0.007685982045250287,0.004573665586148535,0.0033505963703752972,0.5092849580817763,0.17304337268396697,"{'embedding_dim': 96, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.07825674390338098, 'hidden_dim': 256, 'learning_rate': 0.0004549828222681774, 'weight_decay': 1.4569419977008126e-06, 'batch_size': 4096}",0.9475326336143559,0.00559586072896679,,,
ft_transformer,6,0.18160360673173045,2048.0,0.18230431768527677,32.0,128.0,0.0006655912100515532,4.0,4.0,1.248014825468811e-06,COMPLETE,0.00045317368638714967,0.00802166798390291,0.004845119619164121,0.0034611837699727536,1.0,0.18160360673173045,"{'embedding_dim': 32, 'num_layers': 4, 'num_heads': 4, 'dropout': 0.18230431768527677, 'hidden_dim': 128, 'learning_rate': 0.0006655912100515532, 'weight_decay': 1.248014825468811e-06, 'batch_size': 2048}",0.9472414991183591,0.005886062133673767,,,
ft_transformer,7,0.20202843829197958,1024.0,0.1438607042843701,64.0,64.0,0.00010947996676095029,8.0,3.0,7.09466148483908e-05,COMPLETE,0.0002542059648610064,0.008917415477358026,0.005244358807637283,0.003669846337361021,0.6262601695804363,0.20202843829197958,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 8, 'dropout': 0.1438607042843701, 'hidden_dim': 64, 'learning_rate': 0.00010947996676095029, 'weight_decay': 7.09466148483908e-05, 'batch_size': 1024}",0.9463247226778972,0.006580228760720306,,,
ft_transformer,8,0.0997834450990528,2048.0,0.23418509107000168,96.0,256.0,0.0019397389351538418,4.0,4.0,1.5690114194786538e-06,COMPLETE,4.901828246690182e-05,0.00585761698536773,0.0039826854994734345,0.0025950689475381333,0.9606426507196201,0.0997834450990528,"{'embedding_dim': 96, 'num_layers': 4, 'num_heads': 4, 'dropout': 0.23418509107000168, 'hidden_dim': 256, 'learning_rate': 0.0019397389351538418, 'weight_decay': 1.5690114194786538e-06, 'batch_size': 2048}",0.9481006798732003,0.003237758002752542,,,
ft_transformer,9,0.17153754725535578,1024.0,0.11217651486264942,32.0,64.0,0.0009761311658363015,8.0,3.0,2.156740194937443e-06,COMPLETE,0.0006877624872805011,0.007190503819977538,0.004619653854019421,0.003362155954201985,1.0,0.17153754725535578,"{'embedding_dim': 32, 'num_layers': 3, 'num_heads': 8, 'dropout': 0.11217651486264942, 'hidden_dim': 64, 'learning_rate': 0.0009761311658363015, 'weight_decay': 2.156740194937443e-06, 'batch_size': 1024}",0.949260172234081,0.005549613229380247,,,
